"""","7111 家計外消費支出（列）","7211 家計消費支出","7212 対家計民間非営利団体消費支出","7311 一般政府消費支出","7321 一般政府消費支出（社会資本等減耗分）","7411 県内総固定資本形成（公的）","7511 県内総固定資本形成（民間）","7611 在庫純増","7711 調整項","8100 移輸出","合計"
"1621 家具・装備品","0.0037798573871753866","0.051865041834687216","0.005890959880158436","0.021517369510646502","0.002259896506849622","0.005576228234355359","0.05058239433613006","0.0014234322100098772","0.0013350108574527958","0.8557698092425348","1.0"
"1631 パルプ","-","-","-","-","-","-","-","-","-","-","-"
"1632 紙・板紙","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"1633 加工紙","0.003583552537214132","0.08310264034720503","0.0011240751126215126","0.009464547308338053","0.0012294071757624695","0.010290346448829488","0.06587248541857735","-0.006017260373352633","0.001613387221482449","0.8297368188033222","1.0"
"1641 紙製容器","0.005559799342868548","0.10962576644189843","0.0011273113393542795","0.009816574704911589","9.359885849061897E-4","0.0035862160960179173","0.010064342061051066","-0.00369558674837834","8.455956920681908E-4","0.8621339924853021","1.0"
"1649 その他の紙加工品","0.0267018386697652","0.1609380612079253","0.010251737040836378","0.07301175556021344","0.005976219926281028","0.007534568411278529","0.0074613919729326055","0.0010752172347611292","0.0014095149502047044","0.7056396950258017","1.0"
"1911 印刷・製版・製本","0.01046506521439689","0.24401365845706402","0.02986869768773665","0.10585168467252995","0.023092782130628684","0.009374544722400345","0.015347378671938375","0.0013088948813833484","9.753489193802037E-4","0.5597019446425415","1.0"
"2011 化学肥料","0.0033679088888445966","0.08044363693405315","4.915094581397214E-4","0.0032248093151233063","1.2107815768285852E-4","0.0048218851979739685","0.005212347300775154","-0.003157425497188075","0.0030776031448469876","0.9023966470997483","1.0"
"2021 ソーダ工業製品","0.0012339907724938268","0.035461689250958654","4.3967004937994737E-4","0.003141623477914507","0.0016498699874399393","0.0014647543605194539","0.002029555720403495","0.003057428539728895","0.00438281839761238","0.9471385994435488","1.0"
"2029 その他の無機化学工業製品","0.0013517139757451226","0.02614441780139767","4.670095233188286E-4","0.009442597664777699","0.0013493127711568878","0.004413051281374881","0.005532653084707202","0.009078971938701165","0.005031367649084582","0.937188904309736","1.0"
"2031 石油化学基礎製品","3.486592230799767E-5","8.046494392879588E-4","1.6723574324483796E-5","3.181663455124861E-4","1.5778655975627462E-5","8.797143963728486E-5","1.7150780066243815E-4","0.006755022500178174","0.013160737357973313","0.9786345769641402","1.0"
"2041 脂肪族中間物・環式中間物","9.122272844543622E-5","0.002320566670718651","3.437129103831158E-5","3.8571057733081065E-4","2.43429526989994E-5","1.4380366513766515E-4","2.64336113590544E-4","0.0015975020276863977","0.02646782263572809","0.9686703213376251","1.0"
"2042 合成ゴム","-","-","-","-","-","-","-","-","-","-","-"
"2049 その他の有機化学工業製品","2.4456519335295455E-4","0.005528619316216077","1.0757885942746549E-4","0.0024203847859070493","1.25525077889538E-4","4.3960691266279976E-4","8.433229225759171E-4","0.00290933750622699","0.006568025861622371","0.9808130335641189","1.0"
"2051 合成樹脂","2.1685644761554155E-4","0.00512944538676004","8.757796143095683E-5","0.001629843141880338","1.1439608430699344E-4","9.08849718240147E-4","0.0018314324674687573","0.003619390721691944","0.01432267451727937","0.9721395335533258","1.0"
"2061 化学繊維","0.0017520543927996457","0.02494681463891037","3.254587543699484E-4","0.0035472012380647947","4.00782376112909E-4","0.0011130552540234832","0.008021481319047473","0.017662102542285285","0.016159510204412135","0.926071539279974","1.0"
"2071 医薬品","0.002158506544416049","0.030039700663864938","4.217413445072871E-4","0.08245855801139519","1.4418123710579329E-4","1.9386846383239797E-5","2.6247418547459374E-5","0.0016616719420175596","3.160655107992917E-4","0.8827539404809631","1.0"
"2081 油脂加工製品・石けん・界面活性剤・化粧品","0.0012427384030439725","0.03628240146213783","1.4671138221380707E-4","0.0016251361957699635","9.12771817080086E-5","4.952396478259314E-4","6.634541730367293E-4","0.003633544257848246","0.0012955812906006953","0.9545239160058148","1.0"
"2082 塗料・印刷インキ","5.331795246058771E-4","0.024815163483953597","8.203231521613691E-4","0.005492129983148313","0.0016665611262957772","0.013938039776437877","0.027227721393937","7.968755332322071E-4","0.004907701453190297","0.9198023045730377","1.0"
"2083 写真感光材料","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"2084 農薬","6.87404709645814E-4","0.020618135848872607","9.525196673450866E-5","0.001011792017193679","2.702442701397715E-4","6.472185650460288E-5","0.0014939307590178341","0.014912259595565167","0.003911951586691973","0.9569343073896341","1.0"
"2089 その他の化学最終製品","0.0017357862758650994","0.02894716386620242","0.0010870142981967543","0.008736943640236928","5.235048376854778E-4","0.002392293704871858","0.005162524828319996","0.008924100285063102","0.015029038786282714","0.9274616294772756","1.0"
"2111 石油製品","6.436389953538413E-4","0.045941651582786805","3.4691739872231235E-4","0.0046536345579586995","9.424737039109227E-4","0.0031212050466101486","0.002383423643826424","0.0107629798405856","0.0017651706126678719","0.9294389046175774","1.0"
"2121 石炭製品","3.4877041818866966E-4","0.009848176043729697","2.5136435309836756E-4","0.0020787300121824707","2.641128653737572E-4","0.038730109437930434","0.009800245116776574","0.011891404582181261","0.0014156349745554767","0.9253714521959833","1.0"
"2211 プラスチック製品","9.680360127998071E-4","0.0239151499184513","3.207065164921988E-4","0.002586164041325096","5.441780543467543E-4","0.00463714263398136","0.006739636470744179","8.781996255260634E-5","0.004235509255518178","0.9559656571337886","1.0"
"2221 タイヤ・チューブ","3.399992266828914E-5","0.00293392993781815","2.0381082883382852E-5","3.7685387513289754E-4","1.1586079749044241E-4","2.0395989957623512E-4","2.177496021755529E-4","1.3722261462605242E-6","0.00790018313933719","0.9881957095167716","1.0"
"2229 その他のゴム製品","0.0019143570896687525","0.08428014795305697","0.0028605369883506152","0.017921272805580247","0.002530261426926338","0.01182373207686223","0.009398297001801207","-0.01893010963235455","0.005377345777244106","0.8828241585128641","1.0"
"2311 革製履物","0.0011936133414865654","0.9726528850879009","3.3051005856379623E-4","0.016277524745122438","0.007151303762714752","0.002515599191352487","0.0030519739074673243","-0.039826120591881814","7.329697894390823E-5","0.036579413518329384","1.0"
