"""","7111 家計外消費支出（列）","7211 家計消費支出","7212 対家計民間非営利団体消費支出","7311 一般政府消費支出","7321 一般政府消費支出（社会資本等減耗分）","7411 県内総固定資本形成（公的）","7511 県内総固定資本形成（民間）","7611 在庫純増","7711 調整項","8100 移輸出"," 平均"
"2919 その他のはん用機械","0.00001249618971474876","0.00001938205641066001","0.000020248645233117664","0.000011136971100145179","0.00003113387480726183","0.00012240443168783427","0.0017586365699196107","0.0011689435103942527","0.023675763365201156","0.004408179764051562","0.002067753843160272"
"3011 農業用機械","0.000000820515165900638","0.000000870243989145235","0.000001464473359555859","0.000000886244378778754","0.000001352731587822014","0.000001959790135330858","0.00017115416448065468","0.00007897736018618123","0.0014941051229872776","0.000546541393827896","0.0002492297253671638"
"3012 建設・鉱山機械","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0020961110051068046","0.0006209590842658133","0.00026849843670733733"
"3013 繊維機械","0.000000788261895844731","0.000001925243848537616","0.000001406907019872679","0.000000851407387980533","0.000001299557656335581","0.000001590560752962162","0.000021958293028892897","-0.00046245350956085736","0.009757306432313713","0.004872330767148041","0.0020946036868310044"
"3014 生活関連産業用機械","0.000004330126655597989","0.000004592561906074549","0.000007728504473973223","0.000004677001190723241","0.000007138806629939638","0.000009907693501384855","0.00034134022524972554","0.0004198065629327522","0.008666307683945702","0.002302179149618146","0.0010277172515615553"
"3015 基礎素材産業用機械","0.000002843916509568874","0.000003059218559163403","0.000005035204276866458","0.000003531761389849069","0.000005751426850444976","0.00033560754651553224","0.0027854748552615283","0.00023926448070581724","0.0027838363173562424","0.0002009848132388069","0.00030261353219485776"
"3016 金属加工機械","0.000013635986636502947","0.000015908678174348683","0.00002347449484593766","0.000014707743339587795","0.00002363832334765989","0.00005186468260507433","0.0012575954891987755","-0.0004425912723806722","0.003970258152261863","0.0012905292561309482","0.0006513456194006235"
"3017 半導体製造装置","0.000000000297528797498","0.000000000315561074775","0.000000000531035885435","0.000000000321363011028","0.000000000490516957381","0.000000053349306316201","0.00001573982613573432","0.000000275368717400895","0.0007734891247628469","0.00012920913633257249","0.00005749025350674752"
"3019 その他の生産用機械","0.000001664708800477894","0.000001766905148794112","0.000002970491458678806","0.000001801768137949262","0.000002755058590516433","0.000012624791320147167","0.00023643628049364393","0.000026670845099549013","0.0022591375331792746","0.0006592250803592176","0.00030340323347929134"
"3111 事務用機械","0.00007658620593407164","0.000057066587351151445","0.00008261390659149719","0.00005507653252265299","0.00007600067411083039","0.00012195228743398445","0.0005690905352195942","0.0002778269543730311","0.0008263371759815079","0.00018949621144339577","0.00015604497380402902"
"3112 サービス用機器","0.000000134005707077986","0.000000043953786309289","0.00000001505505165618","0.000000009068072923805","0.000000013659419902734","0.000000111708043186448","0.000004218608600823133","0.000000031206401912799","0.000000016594314838658","0.000002944938468434677","0.000001579402568866705"
"3113 計測機器","0.000001265554034832492","0.000002744642104674128","0.000000450680727912099","0.000002163822848752475","0.00000099890207310585","0.000012569031361828617","0.000053431410018856545","0.000015803674958883883","0.002150563379118402","0.0004874638478964611","0.00021700991296228297"
"3114 医療用機械器具","0.000001758843516660824","0.000001721001411102513","0.000004682947495488805","0.00002168854946129311","0.000000630583111644852","0.000006248155376006766","0.000028888511644826003","0.000003997458729022326","0.000147057534975602","0.00007826966086728237","0.00003885330319412054"
"3115 光学機械・レンズ","0.000003452985429982915","0.00008976613862321239","0.000006081912268174249","0.00001182109540799751","0.000032617235823867076","0.00003320067068462272","0.00028620482565709074","-0.0008922154868217921","0.000009330085958622899","0.0007427584413072215","0.0003601037857016051"
"3116 武器","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3211 電子デバイス","0.000000449738963967291","0.00000068541127944921","0.000000509813087969505","0.000000352851658214293","0.000000498922874388799","0.000001088147972629309","0.000002138774774957925","0.000004345174907762767","0.00013399895466065232","0.00001610041297808998","0.000007581132330560093"
"3299 その他の電子部品","0.00002521491422703468","0.000044079299560790245","0.00004026761964441932","0.00004739587574184602","0.00008620393299554631","0.000045899030546276136","0.00004445319737718165","-0.000047188431957169994","0.0029547030227148915","0.0011343758741368362","0.000514253476422994"
"3311 産業用電気機器","0.000003326791539917195","0.000007591808923090566","0.000005416857971215361","0.000004415279061208114","0.000007737305467663094","0.00011293585117287201","0.0007977920438273354","0.00002392259266265747","0.001618202992665153","0.0004981450064876089","0.00027892249366185773"
"3321 民生用電気機器","0.000000329311195710596","0.00000113082418205054","0.000000009555221344656","0.000000019162971089175","0.000000052825399289199","0.000000071548487797421","0.000000593075969019938","-0.000000149679769590668","0.00003125974287137222","0.00033262460667889094","0.0001426200519686622"
"3331 電子応用装置","0.000000148217740395034","0.000000272090377062026","0.000000253480825034145","0.000001316451419722394","0.000002143176273025353","0.000010999474318711912","0.000018263968830728348","0.000001787783355164708","0.00006336153182844836","0.000021502111343914386","0.000011213758238953503"
"3332 電気計測器","0.000000000530258385786","0.000000000738888224998","0.000000001016482748549","0.000000009007196786292","0.000000020337656921399","0.000000404407833656599","0.000001533881931451418","-0.000000438303634608714","0.0012287314282988923","0.00010818299290548619","0.00004817177835043405"
"3399 その他の電気機械","0.0000936647532509874","0.0003711354872443656","0.000032667873109219056","0.000045928380256796596","0.00006161312009446365","0.000624517834991863","0.001167735390822363","0.00404609537214081","0.01209265126847726","0.003065329307847263","0.0015959862958397893"
