"""","7111 家計外消費支出（列）","7211 家計消費支出","7212 対家計民間非営利団体消費支出","7311 一般政府消費支出","7321 一般政府消費支出（社会資本等減耗分）","7411 県内総固定資本形成（公的）","7511 県内総固定資本形成（民間）","7611 在庫純増","7711 調整項","8100 移輸出","平均"
"3311 産業用電気機器","0.00001187359404082564","0.000027095793681902512","0.000019333213925577813","0.000015758495992522502","0.00002761508287807502","0.0004030773895484781","0.0028473857600473927","0.00008538171095851079","0.005775500262043295","0.0017779207111502827","0.0009954974391566758"
"3321 民生用電気機器","0.000001127243528174365","0.00000387084999636569","0.000000032707850693612","0.000000065595507903257","0.000000180823155263472","0.00000024491292999095","0.000002030119402259831","-0.000000512358989817004","0.00010700317299602605","0.0011385854476682747","0.0004881933340366942"
"3331 電子応用装置","0.000000513543156861668","0.000000942735672637443","0.000000878257506456332","0.000004561226045798716","0.000007425653002313194","0.00003811085468173423","0.00006328079341350948","0.000006194291624936876","0.0002195343215464549","0.00007450027310708364","0.00003885330319412058"
"3332 電気計測器","0.000000001338685105099","0.000000001865389945077","0.000000002566202348795","0.000000022739480411294","0.000000051344248621236","0.000001020964039067478","0.00000387242323677899","-0.000001106537044749869","0.003102043278000482","0.0002731177197941782","0.00012161399780273515"
"3399 その他の電気機械","0.0003276829645649586","0.0012984049228167056","0.0001142874468240586","0.0001606788816267465","0.00021555141232849865","0.002184854478241696","0.004085282685438118","0.014155127520625622","0.04230573059309333","0.010723950686889307","0.005583503961457519"
"3411 民生用電子機器","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.000006282005896216828","0.000002684984367073373"
"3412 通信機械","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00045489113283781856","0.00019442445622748958"
"3421 電子計算機・同附属装置","0.000000008806172981804","0.000002158804160434775","0.000000015250179095883","0.000000009135116993481","0.000000013903613705712","0.000002756552427613691","0.000009573742570106524","-0.000003883098495158933","0.0006418315157810827","0.0000683840769703873","0.0000315880513773338"
"3511 乗用車","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3521 トラック・バス・その他の自動車","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3522 二輪自動車","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3531 自動車部品・同附属品","0.000000500329317149596","0.000002316481023045552","0.000000556330324964948","0.000000799283720926653","0.000001747465969387384","0.000001318752155609171","0.000000614450188818064","-0.000002701874346100352","0.0024610890464553214","0.0013795345015410296","0.0005941712464076484"
"3541 船舶・同修理","0.00005031598362009112","0.00010050791929786731","0.00004514522516435361","0.0005593798853876607","0.0012497769201681426","0.0018763657328166625","0.006430591083263901","-0.001123882067903529","0.015178414350366194","0.0030625090917621597","0.0019480351284401735"
"3591 鉄道車両・同修理","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0004936917574909225","0.0002110081832005898"
"3592 航空機・同修理","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3599 その他の輸送機械","0.000000212063714048227","0.000002626041841128726","0.000000368662932253881","0.000000821893902043401","0.000002535796999768247","0.000012722147416595333","0.00008669722267616662","0.000002009150502728786","0.00010748063187784492","0.00006104640981918951","0.000033799214973747163"
"3911 がん具・運動用品","0.0006427318533270966","0.00043787099111614145","0.0002939996009979151","0.00015128620343827912","0.00010686711901180016","0.00004803628304242972","0.0006624703104791639","0.0010757733108094736","0.0010936787746784421","0.0004896337285184167","0.0004373365713191863"
"3919 その他の製造工業製品","0.0011657414282686758","0.0004477048071533159","0.0003493577737280943","0.00016196502958692427","0.00019867575295779235","0.0004617017237179859","0.0008152535553015098","-0.0006289643765870185","0.00548074615594661","0.005614710203383954","0.0026548177780080207"
"3921 再生資源回収・加工処理","0.00022308143107220473","0.0004378679097569468","0.00016740684583291116","0.00013709397283788853","0.00012601641987019306","0.001173547977373222","0.0004400248990774699","0.005493264526312695","0.0036528829531544803","0.005167720628767637","0.0024970354613782384"
"4111 住宅建築","0.0","0.0","0.0","0.0","0.0","0.026928525054594817","0.18736302085417195","0.0","0.0","0.0","0.014177823039945619"
"4112 非住宅建築","0.0","0.0","0.0","0.0","0.0","0.16983906824844086","0.12340681861627167","0.0","0.0","0.0","0.014222520132644545"
"4121 建設補修","0.0031867131544304423","0.010639752595517788","0.0057165080007234295","0.007113305545362447","0.013983717067667007","0.002565164729287413","0.0015858359828323327","0.0023931126036798992","0.0046576465017790615","0.005228370092607141","0.006870243234313217"
"4131 公共事業","0.0","0.0","0.0","0.0","0.0","0.7005449644887761","0.0","0.0","0.0","0.0","0.02249574666888204"
"4191 その他の土木建設","0.0","0.0","0.0","0.0","0.0","0.0","0.1176675868997924","0.0","0.0","0.0","0.008360883378809598"
"4611 電力","0.01264179488476208","0.030600916426988825","0.014218773265802885","0.011590064656765717","0.011831499011406","0.007134639822802744","0.005029934681601729","0.00855497580422805","0.020699482086948117","0.03696023918273993","0.027844709348862882"
"4621 都市ガス","0.006150619362320643","0.005085870046054548","0.003947492174420661","0.003703091233624547","0.0034820557000017805","0.0011980920796863088","0.0008884865694564161","0.001080384021268521","0.002951794697625537","0.0030686661477424687","0.0035932987844286045"
"4622 熱供給業","0.00004049845334108507","0.00004377842682577124","0.00004897149416149156","0.00005719383316732913","0.00010259484780120024","0.000010936092945143877","0.00000931781482291095","0.000007451296626046221","0.000047111627986194936","0.00003883882113911894","0.00004011682524921394"
"4711 水道","0.006235358689663765","0.016940928582293957","0.007196776761409251","-0.005403360914873676","0.016395806982024353","0.00165750438543634","0.0010328850326859383","0.0006869058193346805","0.0025581257129742695","0.0023628177298397556","0.006324243766255997"
"4811 廃棄物処理","0.005069455713904295","0.002647217636917872","0.0020987275817565443","0.016304999550512424","0.032486896683687545","0.0024636272658858033","0.0007661229363773342","0.00027109134514800295","0.0009350883637616023","0.0016310341265388486","0.003969986297103313"
"5111 卸売","0.03417763372350149","0.03210382293900639","0.01379564648048652","0.013944495645056489","0.006253628945281926","0.0313960855704352","0.04411493829665591","0.01738486100265558","0.028843076521821064","0.03420239805044583","0.031256534778128675"
"5112 小売","0.08424276854847515","0.10892992791515727","0.012913262902178462","0.00601420334781969","0.0064103008107621725","0.009549520681361124","0.019342770119679324","0.0009537298645805082","0.002760523119861691","0.01795024980231325","0.04574944863056321"
"5311 金融","0.005049824146829081","0.038995971750807275","0.0241380617418618","0.012962860459554124","0.028242960175149597","0.01521795639548554","0.006656007422305844","0.00231222297214475","0.006795958394462301","0.007249157527265498","0.018457688121060585"
"5312 保険","0.0015080040898396649","0.038702875514760066","0.0015397634840086784","0.0014571739892587335","0.0010230540342765718","0.002970166897500959","0.0015491994767924918","0.0007274679556224702","0.002369404936360227","0.0037684810483619873","0.014239261799874527"
